name,description,price,image
Lara,"Nutella + Banana",6,
Sarah,"Nutella + Strawberry",6,
Tima,"Nutella + Brownies",6,
Tia,"Nutella + Twix",6,
Christina,"Galaxy + Crunch",6,
Dima,"Kinder + Oreo",6,
Talia,"Nutella + Mars",6,
Lama,"Nutella + Snickers",6,
Serene,"Kinder + Hersheys",6,
Reina,"Nutella + White Chocolate",6,
Julia,"Kinder + White chocolate + lotus",7,
Mimi,"Nutella + Brownies + Kinder",7,
Nour,"Nutella + Kinder + Oreo",7,
Rayan,"Nutella + Brownies + White chocolate",7,
Evona,"Nutella + Kinder + Bubbly",7,
Sally,"Nutella + Galaxy + Marshmallow",7,
Rima,"Nutella + Galaxy + Crunchy lotus",7,
Suzy,"Nutella + Flake + lotus",7,
Jana,"Nutella + White chocolate + Kinder",7,
Israa,"Nutella + Galaxy + White chocolate",7,
Shaden,"Nutella + Crunch + Oreo",7,
Dana,"Nutella + m&m's + Lotus",7,
Sabine,"Nutella + White chocolate + Oreo",7,
Doha,"Nutella + Galaxy + Oreo",7,
Aya,"White Chocolate + m&m + Lotus",7,
Nourhàn,"Nutella + Hersheys+ lotus",7,
Alina,"Nutella + Galaxy + White chocolate + Lotus",8,
Suchi Crêpe,"Nutella + Brownies + Topping",8,
Big Roll,,10,
